PAIS,AÑO,MES,PRODUCTO,CANTIDAD DE ENERGIA (GWh),CODIGO DE PRODUCTO,AÑO ACTUAL- MES ACTUA,AÑO ANTERIOR- MES ACTUAL,PARTICIPACION
Chile,2010,May,Low carbon,2.013.274,26,24213.17,,42.57%
Chile,2010,May,Fossil fuels,2.725.787,27,34.232.823,,57.63%
Mexico,2010,May,Hydro,2.466.344,1,36.790.001,,10.24%
Mexico,2010,May,Wind,103.06,2,1236.72,,0.43%
Mexico,2010,May,Solar,2.687,3,30.999,,0.01%
Mexico,2010,May,Renewables,3156.82,22,45.046.671,,13.11%
Mexico,2010,May,Low carbon,3.640.954,26,50.707.671,,15.12%
Mexico,2010,May,Fossil fuels,20.445.788,27,213.628.051,,84.88%
Chile,2010,June,Hydro,1.649.965,1,21.641.001,,33.73%
Chile,2010,June,Wind,18.945,2,332.001,,0.39%
Chile,2010,June,Renewables,1.825.336,22,24.101.174,,37.32%
Chile,2010,June,Low carbon,1.834.669,26,24213.17,,37.51%
Chile,2010,June,Fossil fuels,3.066.312,27,34.232.823,,62.68%
Mexico,2010,June,Hydro,2.372.468,1,36.790.001,,9.69%
Mexico,2010,June,Wind,103.06,2,1236.72,,0.42%
Mexico,2010,June,Solar,2.604,3,30.999,,0.01%
Mexico,2010,June,Renewables,3.046.915,22,45.046.671,,12.45%
Mexico,2010,June,Low carbon,3.512.163,26,50.707.671,,14.35%
Mexico,2010,June,Fossil fuels,20.961.566,27,213.628.051,,85.65%
Chile,2010,July,Hydro,1.754.004,1,21.641.001,,33.81%
Chile,2010,July,Wind,24.16,2,332.001,,0.47%
Chile,2010,July,Renewables,1.957.109,22,24.101.174,,37.73%
Chile,2010,July,Low carbon,1.966.442,26,24213.17,,37.91%
Chile,2010,July,Fossil fuels,3.230.637,27,34.232.823,,62.27%
Mexico,2010,July,Hydro,3868.07,1,36.790.001,,16.30%
Mexico,2010,July,Wind,103.06,2,1236.72,,0.43%
Mexico,2010,July,Solar,2.622,3,30.999,,0.01%
Mexico,2010,July,Renewables,4.556.839,22,45.046.671,,19.20%
Mexico,2010,July,Low carbon,4924.44,26,50.707.671,,20.75%
Mexico,2010,July,Fossil fuels,18.803.592,27,213.628.051,,79.25%
Chile,2010,August,Hydro,1.498.787,1,21.641.001,,29.06%
Chile,2010,August,Wind,20.083,2,332.001,,0.39%
Chile,2010,August,Renewables,1.670.274,22,24.101.174,,32.38%
Chile,2010,August,Low carbon,1.679.607,26,24213.17,,32.56%
Chile,2010,August,Fossil fuels,3.487.717,27,34.232.823,,67.62%
Mexico,2010,August,Hydro,5.148.114,1,36.790.001,,20.94%
Mexico,2010,August,Wind,103.06,2,1236.72,,0.42%
Mexico,2010,August,Solar,2.798,3,30.999,,0.01%
Mexico,2010,August,Renewables,5.842.996,22,45.046.671,,23.77%
Mexico,2010,August,Low carbon,6.185.749,26,50.707.671,,25.16%
Mexico,2010,August,Fossil fuels,18.400.525,27,213.628.051,,74.84%
Chile,2010,September,Hydro,1.705.578,1,21.641.001,,34.96%
Chile,2010,September,Wind,109.861,2,332.001,,2.25%
Chile,2010,September,Renewables,1.958.419,22,24.101.174,,40.15%
Chile,2010,September,Low carbon,1.967.752,26,24213.17,,40.34%
Chile,2010,September,Fossil fuels,2.919.786,27,34.232.823,,59.85%
Mexico,2010,September,Hydro,5.943.328,1,36.790.001,,25.94%
Mexico,2010,September,Wind,103.06,2,1236.72,,0.45%
Mexico,2010,September,Solar,2.615,3,30.999,,0.01%
Mexico,2010,September,Renewables,6630.11,22,45.046.671,,28.93%
Mexico,2010,September,Low carbon,6.995.377,26,50.707.671,,30.53%
Mexico,2010,September,Fossil fuels,15.920.034,27,213.628.051,,69.47%
Chile,2010,October,Hydro,1979.66,1,21.641.001,,39.66%
Chile,2010,October,Wind,23.519,2,332.001,,0.47%
Chile,2010,October,Renewables,2.207.155,22,24.101.174,,44.22%
Chile,2010,October,Low carbon,2.216.488,26,24213.17,,44.41%
Chile,2010,October,Fossil fuels,2.784.072,27,34.232.823,,55.78%
Mexico,2010,October,Hydro,4.800.166,1,36.790.001,,21.63%
Mexico,2010,October,Wind,103.06,2,1236.72,,0.46%
Mexico,2010,October,Solar,2.579,3,30.999,,0.01%
Mexico,2010,October,Renewables,5.512.446,22,45.046.671,,24.84%
Mexico,2010,October,Low carbon,5.668.844,26,50.707.671,,25.55%
Mexico,2010,October,Fossil fuels,16.519.629,27,213.628.051,,74.45%
Chile,2010,November,Hydro,2010.61,1,21.641.001,,40.66%
Chile,2010,November,Wind,25.229,2,332.001,,0.51%
Chile,2010,November,Renewables,2.276.808,22,24.101.174,,46.04%
Chile,2010,November,Low carbon,2.286.141,26,24213.17,,46.23%
Chile,2010,November,Fossil fuels,2.668.544,27,34.232.823,,53.96%
Mexico,2010,November,Hydro,3.159.569,1,36.790.001,,15.39%
Mexico,2010,November,Wind,103.06,2,1236.72,,0.50%
Mexico,2010,November,Solar,2.304,3,30.999,,0.01%
Mexico,2010,November,Renewables,3839.45,22,45.046.671,,18.70%
Mexico,2010,November,Low carbon,4.064.048,26,50.707.671,,19.79%
Mexico,2010,November,Fossil fuels,16.472.329,27,213.628.051,,80.21%
Chile,2010,December,Hydro,1.862.354,1,21.641.001,,34.92%
Chile,2010,December,Wind,23.581,2,332.001,,0.44%
Chile,2010,December,Renewables,2.170.061,22,24.101.174,,40.69%
Chile,2010,December,Low carbon,2.179.394,26,24213.17,,40.86%
Chile,2010,December,Fossil fuels,3.163.319,27,34.232.823,,59.31%
Mexico,2010,December,Hydro,2.062.264,1,36.790.001,,9.94%
Mexico,2010,December,Wind,103.06,2,1236.72,,0.50%
Mexico,2010,December,Solar,2.153,3,30.999,,0.01%
Mexico,2010,December,Renewables,2.780.106,22,45.046.671,,13.41%
Mexico,2010,December,Low carbon,2.998.438,26,50.707.671,,14.46%
Mexico,2010,December,Fossil fuels,17.739.699,27,213.628.051,,85.54%
Chile,2011,January,Hydro,1.896.733,1,20.937.001,2.277.808,36.39%
Chile,2011,January,Wind,28.383,2,338.001,21.126,0.54%
Chile,2011,January,Renewables,2.252.226,22,25.689.737,2.456.621,43.21%
Chile,2011,January,Low carbon,2.252.226,26,25.689.737,2.465.954,43.21%
Chile,2011,January,Fossil fuels,2.960.354,27,37.499.264,2.323.789,56.79%
Mexico,2011,January,Hydro,2.546.165,1,35.927.601,1.348.316,11.94%
Mexico,2011,January,Wind,136.19,2,1634.28,103.06,0.64%
Mexico,2011,January,Solar,3.345,3,40.998,2.529,0.02%
Mexico,2011,January,Renewables,3.280.658,22,44.372.956,2.070.082,15.38%
Mexico,2011,January,Low carbon,3.752.056,26,54.035.955,3.073.625,17.59%
Mexico,2011,January,Fossil fuels,17.573.458,27,226.059.941,17.026.702,82.41%
Chile,2011,February,Hydro,1.470.305,1,20.937.001,4.019.071,30.72%
Chile,2011,February,Wind,18.898,2,338.001,36.237,0.39%
Chile,2011,February,Renewables,1.822.451,22,25.689.737,4.373.641,38.08%
Chile,2011,February,Low carbon,1.822.451,26,25.689.737,4.392.307,38.08%
Chile,2011,February,Fossil fuels,2.963.082,27,37.499.264,4802.72,61.92%
Mexico,2011,February,Hydro,2.420.499,1,35.927.601,2.996.893,12.22%
Mexico,2011,February,Wind,136.19,2,1634.28,206.12,0.69%
Mexico,2011,February,Solar,3.218,3,40.998,4.962,0.02%
Mexico,2011,February,Renewables,3.093.204,22,44.372.956,4.359.098,15.62%
Mexico,2011,February,Low carbon,3.795.291,26,54.035.955,6.226.809,19.17%
Mexico,2011,February,Fossil fuels,16.006.948,27,226.059.941,31.958.877,80.83%
Chile,2011,March,Hydro,1.277.178,1,20.937.001,5.600.046,23.52%
Chile,2011,March,Wind,29.798,2,338.001,51.172,0.55%
Chile,2011,March,Renewables,1.615.897,22,25.689.737,6118.47,29.75%
Chile,2011,March,Low carbon,1.615.897,26,25.689.737,6.146.469,29.75%
Chile,2011,March,Fossil fuels,3.814.883,27,37.499.264,7.529.226,70.25%
Mexico,2011,March,Hydro,2.534.063,1,35.927.601,5.065.028,10.89%
Mexico,2011,March,Wind,136.19,2,1634.28,309.18,0.59%
Mexico,2011,March,Solar,3.827,3,40.998,7.856,0.02%
Mexico,2011,March,Renewables,3.239.446,22,44.372.956,7.117.026,13.93%
Mexico,2011,March,Low carbon,4.063.392,26,54.035.955,9.683.945,17.47%
Mexico,2011,March,Fossil fuels,19.197.636,27,226.059.941,49.714.249,82.53%
Chile,2011,April,Hydro,1.201.971,1,20.937.001,7.340.462,23.78%
Chile,2011,April,Wind,28.51,2,338.001,71.531,0.56%
Chile,2011,April,Renewables,1.547.506,22,25.689.737,8.032.071,30.62%
Chile,2011,April,Low carbon,1.547.506,26,25.689.737,8.069.403,30.62%
Chile,2011,April,Fossil fuels,3.506.306,27,37.499.264,10.186.649,69.38%
Mexico,2011,April,Hydro,2.635.479,1,35.927.601,6.969.678,11.53%
Mexico,2011,April,Wind,136.19,2,1634.28,412.24,0.60%
Mexico,2011,April,Solar,3.678,3,40.998,10.637,0.02%
Mexico,2011,April,Renewables,3301.51,22,44.372.956,9.680.989,14.44%
Mexico,2011,April,Low carbon,3.986.022,26,54.035.955,12.717.658,17.44%
Mexico,2011,April,Fossil fuels,18.870.698,27,226.059.941,68.364.889,82.56%
Chile,2011,May,Hydro,1.227.938,1,20.937.001,9.180.043,23.00%
Chile,2011,May,Wind,15.68,2,338.001,86.623,0.29%
Chile,2011,May,Renewables,1.553.264,22,25.689.737,10.036.012,29.10%
Chile,2011,May,Low carbon,1.553.264,26,25.689.737,10.082.677,29.10%
Chile,2011,May,Fossil fuels,3.785.025,27,37.499.264,12.912.436,70.90%
Mexico,2011,May,Hydro,2.831.378,1,35.927.601,9.436.022,11.27%
Mexico,2011,May,Wind,136.19,2,1634.28,515.3,0.54%
Mexico,2011,May,Solar,3.554,3,40.998,13.324,0.01%
Mexico,2011,May,Renewables,3.563.247,22,44.372.956,12.837.809,14.19%
Mexico,2011,May,Low carbon,4.412.205,26,54.035.955,16.358.612,17.57%
Mexico,2011,May,Fossil fuels,20.702.525,27,226.059.941,88.810.677,82.43%
Chile,2011,June,Hydro,1.255.332,1,20.937.001,10.830.008,23.90%
Chile,2011,June,Wind,35.85,2,338.001,105.568,0.68%
Chile,2011,June,Renewables,1.615.677,22,25.689.737,11.861.348,30.76%
Chile,2011,June,Low carbon,1.615.677,26,25.689.737,11.917.346,30.76%
Chile,2011,June,Fossil fuels,3.637.694,27,37.499.264,15.978.748,69.24%
Mexico,2011,June,Hydro,2.710.881,1,35.927.601,11808.49,10.89%
Mexico,2011,June,Wind,136.19,2,1634.28,618.36,0.55%
Mexico,2011,June,Solar,3.444,3,40.998,15.928,0.01%
Mexico,2011,June,Renewables,3.430.695,22,44.372.956,15.884.724,13.79%
Mexico,2011,June,Low carbon,4.113.538,26,54.035.955,19.870.775,16.53%
Mexico,2011,June,Fossil fuels,20.769.369,27,226.059.941,109.772.243,83.47%
Chile,2011,July,Hydro,1.614.138,1,20.937.001,12.584.012,30.66%
Chile,2011,July,Wind,25.181,2,338.001,129.728,0.48%
Chile,2011,July,Renewables,2.010.527,22,25.689.737,13.818.457,38.19%
Chile,2011,July,Low carbon,2.010.527,26,25.689.737,13.883.788,38.19%
Chile,2011,July,Fossil fuels,3.253.922,27,37.499.264,19.209.385,61.81%
Mexico,2011,July,Hydro,3.113.575,1,35.927.601,15676.56,12.11%
Mexico,2011,July,Wind,136.19,2,1634.28,721.42,0.53%
Mexico,2011,July,Solar,3.467,3,40.998,18.55,0.01%
Mexico,2011,July,Renewables,3.843.635,22,44.372.956,20.441.563,14.95%
Mexico,2011,July,Low carbon,4.819.971,26,54.035.955,24.795.215,18.75%
Mexico,2011,July,Fossil fuels,20.890.035,27,226.059.941,128.575.835,81.25%
Chile,2011,August,Hydro,1.960.977,1,20.937.001,14.082.799,36.94%
Chile,2011,August,Wind,23.802,2,338.001,149.811,0.45%
Chile,2011,August,Renewables,2.298.855,22,25.689.737,15.488.731,43.31%
Chile,2011,August,Low carbon,2.298.855,26,25.689.737,15.563.395,43.31%
Chile,2011,August,Fossil fuels,3.009.131,27,37.499.264,22.697.102,56.69%
Mexico,2011,August,Hydro,3.872.116,1,35.927.601,20.824.674,14.57%
Mexico,2011,August,Wind,136.19,2,1634.28,824.48,0.51%
Mexico,2011,August,Solar,3.701,3,40.998,21.348,0.01%
Mexico,2011,August,Renewables,4.591.338,22,44.372.956,26.284.559,17.27%
Mexico,2011,August,Low carbon,5.590.083,26,54.035.955,30.980.964,21.03%
Mexico,2011,August,Fossil fuels,20993.13,27,226.059.941,146976.36,78.97%
Chile,2011,September,Hydro,2.015.396,1,20.937.001,15.788.377,40.63%
Chile,2011,September,Wind,33.026,2,338.001,259.672,0.67%
Chile,2011,September,Renewables,2.345.024,22,25.689.737,17447.15,47.28%
Chile,2011,September,Low carbon,2.345.024,26,25.689.737,17.531.147,47.28%
Chile,2011,September,Fossil fuels,2.614.817,27,37.499.264,25.616.888,52.72%
Mexico,2011,September,Hydro,4.350.543,1,35.927.601,26.768.002,17.77%
Mexico,2011,September,Wind,136.19,2,1634.28,927.54,0.56%
Mexico,2011,September,Solar,3.458,3,40.998,23.963,0.01%
Mexico,2011,September,Renewables,5.043.444,22,44.372.956,32.914.669,20.60%
Mexico,2011,September,Low carbon,6.004.334,26,54.035.955,37.976.341,24.53%
Mexico,2011,September,Fossil fuels,18.474.069,27,226.059.941,162.896.394,75.47%
Chile,2011,October,Hydro,2.349.763,1,20.937.001,17.768.037,44.09%
Chile,2011,October,Wind,39.512,2,338.001,283.191,0.74%
Chile,2011,October,Renewables,2.812.408,22,25.689.737,19.654.305,52.77%
Chile,2011,October,Low carbon,2.812.408,26,25.689.737,19.747.635,52.77%
Chile,2011,October,Fossil fuels,2517.1,27,37.499.264,28400.96,47.23%
Mexico,2011,October,Hydro,3.480.662,1,35.927.601,31.568.168,15.15%
Mexico,2011,October,Wind,136.19,2,1634.28,1030.6,0.59%
Mexico,2011,October,Solar,3.41,3,40.998,26.542,0.01%
Mexico,2011,October,Renewables,4181.72,22,44.372.956,38.427.115,18.20%
Mexico,2011,October,Low carbon,5.029.484,26,54.035.955,43.645.185,21.89%
Mexico,2011,October,Fossil fuels,17.941.607,27,226.059.941,179.416.023,78.11%
Chile,2011,November,Hydro,2.459.934,1,20.937.001,19.778.647,45.62%
Chile,2011,November,Wind,36.612,2,338.001,308.42,0.68%
Chile,2011,November,Renewables,2.996.418,22,25.689.737,21.931.113,55.57%
Chile,2011,November,Low carbon,2.996.418,26,25.689.737,22.033.776,55.57%
Chile,2011,November,Fossil fuels,2.396.136,27,37.499.264,31.069.504,44.43%
Mexico,2011,November,Hydro,2.890.237,1,35.927.601,34.727.737,13.55%
Mexico,2011,November,Wind,136.19,2,1634.28,1133.66,0.64%
Mexico,2011,November,Solar,3.048,3,40.998,28.846,0.01%
Mexico,2011,November,Renewables,3.570.626,22,44.372.956,42.266.565,16.74%
Mexico,2011,November,Low carbon,4222.9,26,54.035.955,47.709.233,19.80%
Mexico,2011,November,Fossil fuels,17.109.601,27,226.059.941,195.888.352,80.20%
Chile,2011,December,Hydro,2.207.336,1,20.937.001,21.641.001,37.67%
Chile,2011,December,Wind,22.749,2,338.001,332.001,0.39%
Chile,2011,December,Renewables,2.819.484,22,25.689.737,24.101.174,48.11%
Chile,2011,December,Low carbon,2.819.484,26,25.689.737,24213.17,48.11%
Chile,2011,December,Fossil fuels,3.040.814,27,37.499.264,34.232.823,51.89%
Mexico,2011,December,Hydro,2.542.003,1,35.927.601,36.790.001,11.67%
Mexico,2011,December,Wind,136.19,2,1634.28,1236.72,0.63%
Mexico,2011,December,Solar,2.848,3,40.998,30.999,0.01%
Mexico,2011,December,Renewables,3.233.433,22,44.372.956,45.046.671,14.85%
Mexico,2011,December,Low carbon,4.246.679,26,54.035.955,50.707.671,19.50%
Mexico,2011,December,Fossil fuels,17.530.865,27,226.059.941,213.628.051,80.50%
Chile,2012,January,Hydro,1909.02,1,19.976.999,1.896.733,34.66%
Chile,2012,January,Wind,27.048,2,409,28.383,0.49%
Chile,2012,January,Renewables,2.190.493,22,24.871.883,2.252.226,39.77%
Chile,2012,January,Low carbon,2.190.493,26,24.871.883,2.252.226,39.77%
Chile,2012,January,Fossil fuels,3.317.593,27,40.968.115,2.960.354,60.23%
Mexico,2012,January,Hydro,2.543.365,1,31.586.954,2.546.165,11.50%
Mexico,2012,January,Wind,305.595,2,3667.14,136.19,1.38%
Mexico,2012,January,Solar,5.63,3,68.999,3.345,0.03%
Mexico,2012,January,Renewables,3.457.011,22,41.661.373,3.280.658,15.63%
Mexico,2012,January,Low carbon,3964.19,26,50.070.373,3.752.056,17.92%
Mexico,2012,January,Fossil fuels,18.159.698,27,234.334.436,17.573.458,82.08%
Chile,2012,February,Hydro,1.656.485,1,19.976.999,3.367.038,31.46%
Chile,2012,February,Wind,37.028,2,409,47.281,0.70%
Chile,2012,February,Renewables,1.944.153,22,24.871.883,4.074.677,36.93%
Chile,2012,February,Low carbon,1.944.153,26,24.871.883,4.074.677,36.93%
Chile,2012,February,Fossil fuels,3320.62,27,40.968.115,5.923.436,63.07%
Mexico,2012,February,Hydro,2.417.837,1,31.586.954,4.966.664,11.83%
Mexico,2012,February,Wind,305.595,2,3667.14,272.38,1.50%
Mexico,2012,February,Solar,5.416,3,68.999,6.563,0.03%
Mexico,2012,February,Renewables,3.271.108,22,41.661.373,6.373.862,16.01%
Mexico,2012,February,Low carbon,4.026.486,26,50.070.373,7.547.347,19.70%
Mexico,2012,February,Fossil fuels,16.408.058,27,234.334.436,33.580.406,80.30%
Chile,2012,March,Hydro,1.678.313,1,19.976.999,4.644.216,29.68%
Chile,2012,March,Wind,29.422,2,409,77.079,0.52%
Chile,2012,March,Renewables,1.973.523,22,24.871.883,5.690.574,34.91%
Chile,2012,March,Low carbon,1.973.523,26,24.871.883,5.690.574,34.91%
Chile,2012,March,Fossil fuels,3.680.433,27,40.968.115,9.738.319,65.09%
Mexico,2012,March,Hydro,2.531.277,1,31.586.954,7.500.727,10.92%
Mexico,2012,March,Wind,305.595,2,3667.14,408.57,1.32%
Mexico,2012,March,Solar,6.441,3,68.999,10.39,0.03%
Mexico,2012,March,Renewables,3.416.862,22,41.661.373,9.613.308,14.74%
Mexico,2012,March,Low carbon,4.303.348,26,50.070.373,11.610.739,18.57%
Mexico,2012,March,Fossil fuels,18.872.117,27,234.334.436,52.778.042,81.43%
Chile,2012,April,Hydro,1.169.701,1,19.976.999,5.846.187,21.75%
Chile,2012,April,Wind,15.325,2,409,105.589,0.28%
Chile,2012,April,Renewables,1.529.629,22,24.871.883,7238.08,28.44%
Chile,2012,April,Low carbon,1.529.629,26,24.871.883,7238.08,28.44%
Chile,2012,April,Fossil fuels,3.849.045,27,40.968.115,13.244.625,71.56%
Mexico,2012,April,Hydro,2.659.647,1,31.586.954,10.136.206,11.80%
Mexico,2012,April,Wind,305.595,2,3667.14,544.76,1.36%
Mexico,2012,April,Solar,6.19,3,68.999,14.068,0.03%
Mexico,2012,April,Renewables,3.471.244,22,41.661.373,12.914.818,15.41%
Mexico,2012,April,Low carbon,4.660.198,26,50.070.373,15.596.761,20.68%
Mexico,2012,April,Fossil fuels,17.872.768,27,234.334.436,71648.74,79.32%
Chile,2012,May,Hydro,1.153.162,1,19.976.999,7.074.125,20.23%
Chile,2012,May,Wind,36.314,2,409,121.269,0.64%
Chile,2012,May,Renewables,1.605.266,22,24.871.883,8.791.344,28.16%
Chile,2012,May,Low carbon,1.605.266,26,24.871.883,8.791.344,28.16%
Chile,2012,May,Fossil fuels,4.094.247,27,40.968.115,17029.65,71.84%
Mexico,2012,May,Hydro,3.223.059,1,31.586.954,12.967.584,12.42%
Mexico,2012,May,Wind,305.595,2,3667.14,680.95,1.18%
Mexico,2012,May,Solar,5.981,3,68.999,17.622,0.02%
Mexico,2012,May,Renewables,4.047.553,22,41.661.373,16.478.065,15.59%
Mexico,2012,May,Low carbon,5.225.403,26,50.070.373,20.008.966,20.13%
Mexico,2012,May,Fossil fuels,20.731.459,27,234.334.436,92.351.265,79.87%
Chile,2012,June,Hydro,2.048.801,1,19.976.999,8.329.457,37.46%
Chile,2012,June,Wind,36.709,2,409,157.119,0.67%
Chile,2012,June,Renewables,2.472.229,22,24.871.883,10.407.021,45.20%
Chile,2012,June,Low carbon,2.472.229,26,24.871.883,10.407.021,45.20%
Chile,2012,June,Fossil fuels,2.996.888,27,40.968.115,20.667.344,54.80%
Mexico,2012,June,Hydro,2.850.297,1,31.586.954,15.678.465,10.89%
Mexico,2012,June,Wind,305.595,2,3667.14,817.14,1.17%
Mexico,2012,June,Solar,5.797,3,68.999,21.066,0.02%
Mexico,2012,June,Renewables,3.680.612,22,41.661.373,19908.76,14.06%
Mexico,2012,June,Low carbon,4.762.427,26,50.070.373,24.122.504,18.19%
Mexico,2012,June,Fossil fuels,21.415.919,27,234.334.436,113.120.634,81.81%
Chile,2012,July,Hydro,2.349.024,1,19.976.999,9.943.595,42.86%
Chile,2012,July,Wind,42.709,2,409,182.3,0.78%
Chile,2012,July,Renewables,2.803.268,22,24.871.883,12.417.548,51.14%
Chile,2012,July,Low carbon,2.803.268,26,24.871.883,12.417.548,51.14%
Chile,2012,July,Fossil fuels,2.677.849,27,40.968.115,23.921.266,48.86%
Mexico,2012,July,Hydro,2.534.382,1,31.586.954,18792.04,9.84%
Mexico,2012,July,Wind,305.595,2,3667.14,953.33,1.19%
Mexico,2012,July,Solar,5.835,3,68.999,24.533,0.02%
Mexico,2012,July,Renewables,3.391.162,22,41.661.373,23.752.395,13.17%
Mexico,2012,July,Low carbon,4.387.538,26,50.070.373,28.942.475,17.04%
Mexico,2012,July,Fossil fuels,21.364.809,27,234.334.436,134.010.669,82.96%
Chile,2012,August,Hydro,1.731.271,1,19.976.999,11.904.572,31.02%
Chile,2012,August,Wind,32.116,2,409,206.102,0.58%
Chile,2012,August,Renewables,2.178.585,22,24.871.883,14.716.403,39.03%
Chile,2012,August,Low carbon,2.178.585,26,24.871.883,14.716.403,39.03%
Chile,2012,August,Fossil fuels,3.402.651,27,40.968.115,26.930.397,60.97%
Mexico,2012,August,Hydro,3706.52,1,31.586.954,22.664.156,13.80%
Mexico,2012,August,Wind,305.595,2,3667.14,1089.52,1.14%
Mexico,2012,August,Solar,6.228,3,68.999,28.234,0.02%
Mexico,2012,August,Renewables,4.537.189,22,41.661.373,28.343.733,16.90%
Mexico,2012,August,Low carbon,4.866.526,26,50.070.373,34.532.558,18.12%
Mexico,2012,August,Fossil fuels,21.984.596,27,234.334.436,155.003.799,81.88%
Chile,2012,September,Hydro,1.522.577,1,19.976.999,13.919.968,29.67%
Chile,2012,September,Wind,36.031,2,409,239.128,0.70%
Chile,2012,September,Renewables,1.976.857,22,24.871.883,17.061.427,38.53%
Chile,2012,September,Low carbon,1.976.857,26,24.871.883,17.061.427,38.53%
Chile,2012,September,Fossil fuels,3.154.314,27,40.968.115,29.545.214,61.47%
Mexico,2012,September,Hydro,2952.56,1,31.586.954,27.014.699,11.94%
Mexico,2012,September,Wind,305.595,2,3667.14,1225.71,1.24%
Mexico,2012,September,Solar,5.82,3,68.999,31.692,0.02%
Mexico,2012,September,Renewables,3.758.674,22,41.661.373,33.387.177,15.20%
Mexico,2012,September,Low carbon,3.825.044,26,50.070.373,40.536.892,15.47%
Mexico,2012,September,Fossil fuels,20.897.819,27,234.334.436,173.477.868,84.53%
Chile,2012,October,Hydro,1.658.147,1,19.976.999,16.269.731,29.74%
Chile,2012,October,Wind,35.272,2,409,278.64,0.63%
Chile,2012,October,Renewables,2.136.285,22,24.871.883,19.873.835,38.31%
Chile,2012,October,Low carbon,2.136.285,26,24.871.883,19.873.835,38.31%
Chile,2012,October,Fossil fuels,3.439.614,27,40.968.115,32.062.314,61.69%
Mexico,2012,October,Hydro,2.624.997,1,31.586.954,30.495.361,11.09%
Mexico,2012,October,Wind,305.595,2,3667.14,1361.9,1.29%
Mexico,2012,October,Solar,5.739,3,68.999,35.102,0.02%
Mexico,2012,October,Renewables,3.454.532,22,41.661.373,37.568.897,14.59%
Mexico,2012,October,Low carbon,3.669.108,26,50.070.373,45.566.376,15.50%
Mexico,2012,October,Fossil fuels,20.003.139,27,234.334.436,191.419.475,84.50%
Chile,2012,November,Hydro,1.566.059,1,19.976.999,18.729.665,28.55%
